Rk,G,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
14,14,24-326,CLE,,PHI,W (+6),1,38:32:00,13,20,0.65,2,4,0.5,4,6,0.667,0,7,7,9,0,0,5,3,32,24.6,11
15,15,24-330,CLE,@,DET,W (+10),1,38:49:00,12,24,0.5,1,4,0.25,9,11,0.818,1,7,8,7,1,0,5,2,34,24.1,12
16,16,24-332,CLE,@,CHA,L (-7),1,38:01:00,10,19,0.526,2,7,0.286,3,4,0.75,0,6,6,4,0,0,6,4,25,12.3,3
17,17,24-333,CLE,,DAL,W (+16),1,36:21:00,10,20,0.5,0,2,0,5,7,0.714,0,5,5,12,0,0,1,2,25,22.3,8
18,18,24-337,CLE,,PHO,W (+17),1,34:37:00,6,15,0.4,0,3,0,0,0,,1,7,8,10,1,1,3,0,12,12.4,19
19,19,24-339,CLE,,CHI,W (+14),1,34:12:00,8,17,0.471,1,3,0.333,6,10,0.6,0,6,6,11,0,0,1,1,23,20.8,19
20,20,24-341,CLE,@,MIL,W (+15),1,32:18:00,4,10,0.4,0,0,,6,7,0.857,1,4,5,10,1,1,5,2,14,13,8
21,21,24-343,CLE,@,MEM,L (-2),1,44:47:00,14,29,0.483,4,11,0.364,11,12,0.917,4,9,13,6,0,1,5,2,43,32.5,6
22,22,24-344,CLE,@,HOU,L (-10),1,39:40:00,8,21,0.381,2,4,0.5,9,10,0.9,1,5,6,7,1,1,5,2,27,18.1,-13
23,23,24-346,CLE,,POR,W (+5),1,37:36:00,14,24,0.583,1,2,0.5,4,6,0.667,1,6,7,7,1,2,4,1,33,26.4,8
24,24,24-348,CLE,@,OKC,W (+13),1,38:35:00,16,29,0.552,5,8,0.625,7,10,0.7,0,7,7,6,4,1,1,1,44,38.5,13
25,25,24-350,CLE,,NJN,W (+10),1,40:28:00,9,19,0.474,1,5,0.2,4,6,0.667,1,5,6,7,2,0,6,3,23,14.4,7
26,26,24-351,CLE,@,PHI,W (+7),1,40:17:00,12,26,0.462,3,6,0.5,9,11,0.818,1,5,6,7,3,1,3,2,36,28.8,10
27,27,24-353,CLE,,MIL,W (+3),1,38:22:00,6,13,0.462,2,4,0.5,12,14,0.857,1,9,10,8,0,3,6,1,26,23.2,3
28,28,24-355,CLE,@,DAL,L (-7),1,43:05:00,9,23,0.391,2,6,0.333,5,7,0.714,0,3,3,6,2,2,2,3,25,17,-5
29,29,24-356,CLE,@,PHO,W (+18),1,38:26:00,11,21,0.524,1,3,0.333,6,6,1,1,5,6,4,2,0,3,3,29,21.5,26
30,30,24-358,CLE,@,SAC,W (+13),1,43:41:00,14,30,0.467,1,4,0.25,5,7,0.714,4,12,16,10,0,0,2,1,34,28.8,26
31,31,24-360,CLE,@,LAL,W (+15),1,40:44:00,9,19,0.474,2,7,0.286,6,11,0.545,0,4,4,9,2,1,7,3,26,16.3,8
32,32,24-362,CLE,,HOU,W (+25),1,29:26:00,12,20,0.6,2,5,0.4,3,4,0.75,2,3,5,6,3,1,1,0,29,28.6,16
33,33,24-364,CLE,@,ATL,W (+11),1,39:36:00,6,20,0.3,0,5,0,2,3,0.667,1,7,8,10,5,1,4,2,14,12.7,6
34,34,25-000,CLE,,ATL,W (+5),1,43:12:00,15,23,0.652,4,6,0.667,14,16,0.875,3,7,10,6,2,2,3,3,48,44.7,7
35,35,25-003,CLE,@,NJN,W (+8),1,36:27:00,7,16,0.438,1,4,0.25,13,15,0.867,1,8,9,7,1,2,1,0,28,28.2,10
36,36,25-004,CLE,,CHA,L (-3),1,42:51:00,13,21,0.619,2,6,0.333,1,2,0.5,0,7,7,6,1,1,1,3,29,24.9,-2
37,37,25-007,CLE,,WAS,W (+23),1,30:50:00,7,12,0.583,1,4,0.25,8,11,0.727,2,5,7,8,1,2,1,0,23,26.1,16
38,38,25-009,CLE,@,DEN,L (-2),1,41:18:00,12,28,0.429,2,8,0.25,9,13,0.692,2,4,6,7,1,0,8,1,35,18.7,6
39,39,25-011,CLE,@,POR,W (+12),1,45:16:00,13,19,0.684,3,4,0.75,12,14,0.857,0,10,10,8,0,1,3,1,41,38,16
40,40,25-012,CLE,@,GSW,W (+3),1,41:37:00,12,23,0.522,1,4,0.25,12,14,0.857,1,7,8,11,2,4,2,1,37,37.8,12
41,41,25-015,CLE,@,UTA,L (-1),1,40:25:00,12,20,0.6,4,6,0.667,8,12,0.667,1,8,9,6,5,1,5,1,36,32.8,7
42,42,25-017,CLE,@,LAC,W (+1),1,38:54:00,12,20,0.6,3,6,0.5,5,7,0.714,2,2,4,4,2,1,5,3,32,23.3,-1
43,43,25-020,CLE,,TOR,W (+8),1,41:01:00,8,18,0.444,0,7,0,12,14,0.857,0,9,9,11,3,3,3,1,28,29.9,12
44,44,25-022,CLE,,LAL,W (+6),1,40:24:00,13,25,0.52,1,9,0.111,10,13,0.769,0,5,5,9,2,1,4,3,37,28.8,5
45,45,25-024,CLE,,OKC,W (+1),1,42:38:00,9,19,0.474,6,10,0.6,13,19,0.684,0,9,9,12,1,1,6,2,37,30.9,-1
46,46,25-026,CLE,@,MIA,W (+1),1,38:31:00,9,23,0.391,2,9,0.222,12,17,0.706,0,9,9,4,1,0,4,3,32,18.8,1
47,47,25-028,CLE,,MIN,W (+14),1,30:33:00,3,8,0.375,1,3,0.333,5,6,0.833,0,6,6,11,1,1,3,1,12,15,16
48,48,25-030,CLE,@,IND,W (+21),1,35:39:00,6,18,0.333,0,4,0,10,17,0.588,0,9,9,13,2,4,5,2,22,19.8,22
49,49,25-032,CLE,,LAC,W (+25),1,39:55:00,10,20,0.5,5,6,0.833,7,8,0.875,1,2,3,11,1,0,1,1,32,30.2,15
50,50,25-034,CLE,,MEM,W (+16),1,37:07:00,7,14,0.5,1,4,0.25,7,7,1,1,5,6,15,1,1,4,2,22,24.6,19
51,51,25-036,CLE,,MIA,W (+16),1,40:06:00,9,16,0.563,1,4,0.25,17,21,0.81,2,5,7,8,2,0,4,1,36,32.9,20
52,52,25-038,CLE,,NYK,W (+7),1,43:51:00,17,31,0.548,6,12,0.5,7,7,1,1,7,8,8,5,0,5,2,47,39.7,4
53,53,25-041,CLE,,NJN,W (+7),1,42:21:00,13,21,0.619,1,4,0.25,5,9,0.556,0,3,3,11,1,0,3,0,32,27.5,-2
54,54,25-043,CLE,,ORL,W (+9),1,45:05:00,10,21,0.476,2,6,0.333,10,12,0.833,1,7,8,13,2,0,3,2,32,30.6,16
55,55,25-050,CLE,,DEN,L (-2),1,47:00:00,15,33,0.455,1,9,0.111,12,17,0.706,1,12,13,15,2,4,3,1,43,40.1,-5
56,56,25-051,CLE,@,CHA,L (-17),1,35:30:00,6,14,0.429,2,6,0.333,8,10,0.8,1,2,3,9,4,0,2,2,22,22.6,-2
57,57,25-053,CLE,@,ORL,L (-6),1,39:23:00,12,25,0.48,1,6,0.167,8,12,0.667,0,9,9,6,2,1,5,0,33,23.3,-9
58,58,25-055,CLE,,NOH,W (+10),1,44:07:00,7,16,0.438,2,6,0.333,4,4,1,1,4,5,13,2,0,0,0,20,24.6,17
59,59,25-057,CLE,@,BOS,W (+20),1,35:57:00,11,23,0.478,3,6,0.5,11,15,0.733,1,6,7,9,0,0,2,2,36,28.7,9
60,60,25-058,CLE,@,TOR,W (+8),1,44:24:00,10,17,0.588,1,4,0.25,15,16,0.938,0,6,6,9,2,0,1,2,36,36,8
61,61,25-061,CLE,,NYK,W (+31),1,31:14:00,9,17,0.529,1,4,0.25,3,5,0.6,0,7,7,7,2,2,3,0,22,20.3,39
62,62,25-063,CLE,@,NJN,W (+19),1,40:41:00,10,18,0.556,0,4,0,6,7,0.857,2,5,7,14,3,1,3,1,26,30,18
63,63,25-065,CLE,,DET,W (+7),1,41:52:00,16,27,0.593,3,7,0.429,5,6,0.833,2,11,13,6,3,2,4,1,40,36,12
66,64,25-072,CLE,@,PHI,W (+5),1,42:06:00,7,18,0.389,3,10,0.3,6,12,0.5,0,6,6,10,1,3,1,2,23,20.9,2
67,65,25-074,CLE,,BOS,W (+11),1,38:52:00,9,21,0.429,1,3,0.333,11,16,0.688,3,5,8,7,2,3,2,2,30,26.7,3
68,66,25-076,CLE,@,DET,W (+12),1,43:07:00,10,22,0.455,1,3,0.333,8,11,0.727,2,10,12,12,1,1,4,0,29,26.9,13
69,67,25-077,CLE,,IND,W (+5),1,38:43:00,11,24,0.458,2,4,0.5,8,10,0.8,1,8,9,9,3,2,6,2,32,25.8,14
70,68,25-079,CLE,@,CHI,W (+7),1,37:31:00,9,21,0.429,0,3,0,11,12,0.917,1,10,11,7,2,2,5,1,29,24.1,5
71,69,25-081,CLE,,DET,W (+25),1,30:48:00,5,9,0.556,2,3,0.667,3,3,1,0,3,3,7,0,1,0,0,15,17.2,17
72,70,25-084,CLE,@,NOH,W (+13),1,40:45:00,15,22,0.682,1,5,0.2,7,8,0.875,2,4,6,9,1,0,3,2,38,34.3,9
73,71,25-086,CLE,@,SAS,L (-5),1,39:18:00,11,21,0.524,1,6,0.167,4,7,0.571,0,5,5,10,2,0,5,2,27,20.2,-5
74,72,25-088,CLE,,SAC,W (+7),1,39:05:00,13,22,0.591,3,6,0.5,5,6,0.833,1,6,7,8,3,0,3,2,34,30.7,8
75,73,25-091,CLE,,MIL,W (+3),1,39:05:00,7,17,0.412,0,1,0,9,13,0.692,1,8,9,7,1,1,4,2,23,17.2,10
76,74,25-093,CLE,,ATL,W (+5),1,38:22:00,11,20,0.55,1,3,0.333,4,7,0.571,0,13,13,6,2,0,2,1,27,23.9,11
77,75,25-095,CLE,@,BOS,L (-4),1,44:32:00,14,31,0.452,0,9,0,14,22,0.636,1,6,7,9,1,1,3,0,42,30.2,-1
78,76,25-097,CLE,,TOR,W (+12),1,35:34:00,5,13,0.385,0,2,0,9,10,0.9,0,6,6,13,0,1,4,1,19,18.7,19
1,1,25-300,MIA,@,BOS,L (-8),1,42:39:00,10,21,0.476,3,6,0.5,8,12,0.667,0,4,4,3,1,2,8,1,31,16,1
2,2,25-301,MIA,@,PHI,W (+10),1,37:33:00,5,12,0.417,0,2,0,6,6,1,0,6,6,7,2,1,9,1,16,9.6,6
3,3,25-303,MIA,,ORL,W (+26),1,30:02:00,6,13,0.462,2,3,0.667,1,2,0.5,0,6,6,7,0,0,3,4,15,10,13
4,4,25-305,MIA,@,NJN,W (+23),1,28:57:00,5,12,0.417,0,4,0,10,12,0.833,0,7,7,7,2,0,5,3,20,15.6,18
5,5,25-307,MIA,,MIN,W (+32),1,32:26:00,7,12,0.583,0,2,0,6,8,0.75,0,0,0,12,2,1,1,0,20,23.7,32
6,6,25-310,MIA,@,NOH,L (-3),1,41:12:00,6,16,0.375,1,2,0.5,7,8,0.875,0,7,7,10,3,1,3,0,20,20.6,-6
7,7,25-311,MIA,,NJN,W (+12),1,33:35:00,9,16,0.563,2,4,0.5,3,5,0.6,0,3,3,9,2,0,4,1,23,19.4,11
8,8,25-314,MIA,,UTA,L (-2),1,46:44:00,5,18,0.278,0,1,0,10,11,0.909,2,9,11,14,1,3,2,3,20,22.8,4
9,9,25-316,MIA,,BOS,L (-5),1,44:28:00,9,21,0.429,0,5,0,17,22,0.773,0,10,10,9,3,0,4,3,35,29,0
10,10,25-318,MIA,,TOR,W (+9),1,39:20:00,8,21,0.381,0,1,0,7,11,0.636,1,1,2,11,2,0,3,0,23,17.6,11
11,11,25-322,MIA,,PHO,W (+27),1,23:03,9,15,0.6,0,2,0,2,3,0.667,3,5,8,9,3,0,3,5,20,20.6,24
12,12,25-324,MIA,,CHA,W (+8),1,39:29:00,12,25,0.48,2,5,0.4,6,7,0.857,0,2,2,5,2,0,4,1,32,20.6,4
13,13,25-325,MIA,@,MEM,L (-2),1,42:06:00,11,23,0.478,2,4,0.5,5,6,0.833,0,3,3,11,1,0,4,2,29,21.7,-1
14,14,25-327,MIA,,IND,L (-16),1,41:34:00,6,14,0.429,2,8,0.25,11,15,0.733,0,5,5,6,1,0,6,3,25,15.5,-1
15,15,25-329,MIA,@,ORL,L (-9),1,40:44:00,9,18,0.5,1,3,0.333,6,8,0.75,1,5,6,4,1,0,3,3,25,17,-15
16,16,25-331,MIA,,PHI,W (+9),1,40:34:00,5,15,0.333,1,5,0.2,9,11,0.818,1,7,8,6,2,1,2,1,20,18,11
17,17,25-332,MIA,@,DAL,L (-11),1,36:04:00,5,19,0.263,0,4,0,13,15,0.867,2,6,8,4,1,0,5,3,23,11.7,-14
18,18,25-334,MIA,,WAS,W (+11),1,38:11:00,10,18,0.556,1,1,1,9,11,0.818,1,5,6,5,1,1,7,3,30,19.8,3
19,19,25-336,MIA,,DET,W (+25),1,31:14:00,8,15,0.533,1,1,1,1,2,0.5,2,4,6,3,1,0,4,0,18,12,17
20,20,25-337,MIA,@,CLE,W (+28),1,30:02:00,15,25,0.6,2,7,0.286,6,9,0.667,0,5,5,8,1,1,0,1,38,33.7,26
21,21,25-339,MIA,,ATL,W (+12),1,37:19:00,5,11,0.455,1,1,1,11,13,0.846,0,7,7,4,1,1,2,1,22,19.7,7
22,22,25-341,MIA,@,MIL,W (+10),1,38:41:00,7,16,0.438,1,3,0.333,2,4,0.5,0,6,6,6,1,1,1,5,17,12.5,17
23,23,25-343,MIA,@,UTA,W (+13),1,39:26:00,12,20,0.6,3,5,0.6,6,7,0.857,1,6,7,9,0,0,2,4,33,28.6,0
24,24,25-345,MIA,@,GSW,W (+22),1,30:43:00,10,18,0.556,3,4,0.75,2,3,0.667,0,7,7,9,1,1,4,1,25,21.7,22
25,25,25-346,MIA,@,SAC,W (+21),1,35:11:00,10,19,0.526,2,3,0.667,3,5,0.6,1,9,10,3,2,0,3,1,25,19,15
26,26,25-348,MIA,,NOH,W (+12),1,40:18:00,6,16,0.375,0,3,0,8,10,0.8,1,3,4,7,0,0,5,2,20,11.1,11
27,27,25-350,MIA,,CLE,W (+6),1,38:31:00,5,15,0.333,0,4,0,11,18,0.611,2,11,13,5,1,0,4,1,21,14.5,0
28,28,25-352,MIA,@,NYK,W (+22),1,38:13:00,14,23,0.609,3,6,0.5,1,3,0.333,1,10,11,10,1,0,5,1,32,27,31
29,29,25-353,MIA,@,WAS,W (+1),1,40:31:00,9,19,0.474,3,7,0.429,11,12,0.917,1,6,7,6,1,0,4,3,32,24.4,6
30,30,25-355,MIA,,DAL,L (-2),1,36:05:00,6,17,0.353,2,4,0.5,5,7,0.714,3,7,10,7,0,0,5,4,19,11.2,-20
31,31,25-358,MIA,@,PHO,W (+12),1,37:23:00,13,22,0.591,2,5,0.4,8,8,1,1,5,6,4,3,0,5,5,36,26.8,4
32,32,25-360,MIA,@,LAL,W (+16),1,38:11:00,8,14,0.571,5,6,0.833,6,6,1,1,10,11,10,4,0,1,2,27,33.3,15
33,33,25-363,MIA,,NYK,W (+8),1,40:25:00,8,17,0.471,1,2,0.5,1,3,0.333,0,10,10,8,0,0,3,3,18,12.9,17
34,34,25-364,MIA,@,HOU,W (+6),1,39:09:00,8,15,0.533,0,4,0,4,4,1,0,6,6,9,1,0,3,3,20,17.6,16
35,35,26-002,MIA,,GSW,W (+7),1,41:31:00,7,15,0.467,0,3,0,11,17,0.647,2,5,7,10,1,1,3,1,25,23.1,6
36,36,26-004,MIA,@,CHA,W (+14),1,36:34:00,15,26,0.577,2,4,0.5,6,6,1,0,9,9,5,1,0,3,3,38,28.8,20
37,37,26-005,MIA,,MIL,W (+12),1,36:35:00,8,15,0.533,0,0,,9,11,0.818,1,5,6,9,0,2,2,2,25,24,10
38,38,26-008,MIA,@,MIL,W (+6),1,45:16:00,8,23,0.348,1,4,0.25,9,11,0.818,1,9,10,5,6,1,5,2,26,20.1,7
39,39,26-010,MIA,@,POR,W (+7),1,46:11:00,17,26,0.654,3,5,0.6,7,10,0.7,3,10,13,6,2,0,6,4,44,35.1,5
40,40,26-013,MIA,@,LAC,L (-6),1,39:44:00,11,24,0.458,3,6,0.5,2,5,0.4,2,6,8,6,0,0,3,1,27,17.4,-3
43,41,26-019,MIA,,ATL,L (-4),1,44:17:00,11,30,0.367,2,10,0.2,10,11,0.909,2,8,10,7,2,0,6,3,34,20.5,-5
44,42,26-023,MIA,,TOR,W (+17),1,38:00:00,14,29,0.483,1,3,0.333,9,14,0.643,1,10,11,6,2,1,1,2,38,30.1,13
45,43,26-028,MIA,@,NYK,L (-5),1,42:32:00,7,24,0.292,0,2,0,10,12,0.833,2,9,11,5,2,2,4,3,24,15,5
46,44,26-029,MIA,,DET,W (+1),1,44:19:00,15,25,0.6,2,4,0.5,7,10,0.7,0,8,8,9,1,2,3,1,39,34,4
47,45,26-031,MIA,@,OKC,W (+5),1,40:13:00,7,14,0.5,2,5,0.4,7,11,0.636,0,4,4,13,4,3,4,3,23,25.6,6
48,46,26-032,MIA,,CLE,W (+27),1,31:22:00,7,14,0.5,0,0,,10,11,0.909,1,3,4,8,0,2,2,1,24,22.8,20
49,47,26-035,MIA,@,ORL,W (+4),1,42:39:00,17,25,0.68,3,5,0.6,14,17,0.824,2,9,11,8,1,1,3,2,51,46.7,2
50,48,26-036,MIA,@,CHA,W (+12),1,36:39:00,7,13,0.538,0,3,0,5,6,0.833,1,7,8,9,0,0,3,3,19,17.2,10
51,49,26-038,MIA,,LAC,W (+18),1,35:37:00,6,15,0.4,0,2,0,0,2,0,1,5,6,4,4,0,6,2,12,5.3,15
52,50,26-040,MIA,,IND,W (+5),1,41:44:00,15,23,0.652,2,5,0.4,9,13,0.692,3,10,13,8,3,1,4,1,41,39.3,18
53,51,26-043,MIA,@,DET,W (+14),1,34:43:00,7,17,0.412,0,2,0,2,3,0.667,0,8,8,10,4,0,3,0,16,16.9,15
54,52,26-045,MIA,@,BOS,L (-3),1,43:28:00,10,21,0.476,0,2,0,2,3,0.667,1,6,7,7,1,0,4,2,22,14.5,1
55,53,26-047,MIA,@,IND,W (+7),1,40:55:00,11,20,0.55,1,3,0.333,4,6,0.667,1,5,6,5,2,2,5,1,27,20.3,9
56,54,26-048,MIA,@,TOR,W (+8),1,37:38:00,8,18,0.444,0,2,0,7,10,0.7,3,10,13,8,0,0,5,1,23,17.7,6
57,55,26-054,MIA,,SAC,W (+20),1,30:24:00,14,26,0.538,3,6,0.5,0,3,0,2,6,8,3,0,0,3,4,31,17.9,18
58,56,26-056,MIA,@,CHI,L (-4),1,41:26:00,12,21,0.571,0,4,0,5,6,0.833,0,10,10,5,2,1,2,1,29,25.5,3
59,57,26-057,MIA,,WAS,W (+8),1,42:46:00,5,11,0.455,0,1,0,15,19,0.789,1,8,9,7,1,3,1,2,25,27,-4
60,58,26-059,MIA,,NYK,L (-5),1,39:08:00,10,20,0.5,1,5,0.2,6,8,0.75,0,7,7,5,3,1,5,2,27,19.7,-3
61,59,26-063,MIA,,ORL,L (-3),1,39:56:00,11,16,0.688,0,2,0,7,7,1,2,4,6,4,0,2,2,2,29,26.2,0
62,60,26-064,MIA,@,SAS,L (-30),1,36:08:00,11,19,0.579,1,3,0.333,3,7,0.429,3,5,8,7,1,0,4,2,26,20.2,-16
63,61,26-066,MIA,,CHI,L (-1),1,41:50:00,10,18,0.556,1,2,0.5,5,6,0.833,3,5,8,6,2,0,2,2,26,24,-4
64,62,26-068,MIA,,POR,L (-9),1,45:32:00,14,20,0.7,2,4,0.5,1,4,0.25,1,10,11,8,1,0,4,3,31,26.5,-2
65,63,26-070,MIA,,LAL,W (+6),1,42:16:00,7,17,0.412,0,3,0,5,7,0.714,1,7,8,9,1,0,1,1,19,17.8,8
66,64,26-072,MIA,,MEM,W (+33),1,31:55:00,10,16,0.625,2,4,0.5,5,6,0.833,1,4,5,5,1,2,3,1,27,23.8,17
67,65,26-074,MIA,,SAS,W (+30),1,41:31:00,8,19,0.421,0,1,0,5,5,1,0,6,6,8,0,2,2,3,21,16.5,22
68,66,26-076,MIA,,OKC,L (-11),1,39:30:00,8,21,0.381,0,3,0,3,3,1,0,8,8,3,1,1,1,0,19,12.7,-6
69,67,26-078,MIA,@,ATL,W (+21),1,30:54:00,16,21,0.762,5,7,0.714,6,7,0.857,0,2,2,3,0,0,4,2,43,32.2,23
70,68,26-079,MIA,,DEN,W (+5),1,40:40:00,15,25,0.6,1,4,0.25,2,2,1,0,6,6,2,2,0,5,3,33,20.5,16
71,69,26-083,MIA,@,DET,W (+6),1,42:05:00,8,16,0.5,0,3,0,3,4,0.75,3,5,8,7,0,0,3,3,19,14.9,6
72,70,26-085,MIA,,PHI,W (+12),1,41:01:00,11,17,0.647,1,4,0.25,9,9,1,2,8,10,2,3,1,4,3,32,28.2,17
73,71,26-087,MIA,,HOU,W (+6),1,40:27:00,13,21,0.619,0,1,0,7,9,0.778,1,9,10,7,0,0,2,1,33,28.6,5
74,72,26-089,MIA,@,CLE,L (-12),1,43:17:00,10,21,0.476,1,5,0.2,6,10,0.6,0,10,10,12,0,0,3,3,27,21.9,-9
75,73,26-090,MIA,@,WAS,W (+16),1,43:49:00,12,16,0.75,1,3,0.333,10,13,0.769,1,7,8,8,5,0,5,3,35,34.6,20
76,74,26-092,MIA,@,MIN,W (+19),1,42:53:00,11,20,0.55,0,1,0,5,7,0.714,2,4,6,10,3,1,3,2,27,26.1,15
77,75,26-094,MIA,@,NJN,W (+14),1,38:55:00,13,18,0.722,0,2,0,5,8,0.625,2,9,11,7,3,0,7,2,31,26.6,13
78,76,26-097,MIA,,MIL,L (-5),1,39:25:00,10,22,0.455,3,7,0.429,6,8,0.75,1,1,2,8,2,2,4,2,29,22,-10
79,77,26-099,MIA,,CHA,W (+9),1,37:23:00,9,16,0.563,0,1,0,5,6,0.833,1,6,7,9,2,1,1,2,23,24.7,12
80,78,26-101,MIA,,BOS,W (+23),1,37:11:00,11,19,0.579,0,2,0,5,9,0.556,0,5,5,7,4,1,4,1,27,23.2,24
81,79,26-102,MIA,@,ATL,W (+8),1,42:39:00,10,21,0.476,2,4,0.5,12,14,0.857,1,9,10,7,3,0,7,1,34,26.4,7
1,1,26-360,MIA,@,DAL,W (+11),1,36:16:00,11,19,0.579,0,0,,15,19,0.789,3,7,10,6,2,2,3,3,37,34.1,27
2,2,26-362,MIA,,BOS,W (+8),1,36:00:00,9,14,0.643,0,0,,8,9,0.889,1,5,6,5,2,1,3,3,26,23.6,-7
3,3,26-363,MIA,@,CHA,W (+1),1,38:49:00,13,23,0.565,0,0,,9,9,1,0,6,6,7,3,2,2,0,35,33.2,5
4,4,27-000,MIA,@,MIN,W (+2),1,37:13:00,16,26,0.615,0,1,0,2,4,0.5,1,7,8,10,4,1,4,2,34,31.1,14
5,5,27-002,MIA,,CHA,W (+39),1,28:02:00,6,10,0.6,0,0,,4,6,0.667,0,9,9,5,1,0,2,2,16,15,24
6,6,27-003,MIA,,ATL,L (-8),1,38:33:00,11,18,0.611,0,0,,6,9,0.667,2,5,7,6,0,0,4,1,28,21.3,-1
7,7,27-005,MIA,,IND,W (+35),1,37:41:00,12,21,0.571,0,0,,9,11,0.818,2,6,8,13,2,0,2,2,33,33.8,31
9,8,27-008,MIA,@,NJN,W (+11),1,37:23:00,11,17,0.647,0,1,0,10,12,0.833,0,7,7,9,2,1,8,2,32,26,7
10,9,27-011,MIA,@,GSW,L (-5),1,42:33:00,10,19,0.526,0,2,0,6,8,0.75,1,10,11,7,2,0,5,1,26,21.1,-5
11,10,27-012,MIA,@,LAC,L (-6),1,41:53:00,7,19,0.368,0,1,0,9,17,0.529,2,11,13,7,2,0,6,5,23,12.9,-9
12,11,27-014,MIA,@,DEN,L (-13),1,37:11:00,13,20,0.65,3,5,0.6,6,11,0.545,1,4,5,6,2,1,4,0,35,29,-16
13,12,27-018,MIA,,SAS,W (+22),1,34:53:00,12,21,0.571,4,6,0.667,5,9,0.556,1,4,5,10,0,0,4,0,33,26.4,19
14,13,27-020,MIA,,LAL,W (+11),1,37:13:00,12,27,0.444,2,3,0.667,5,7,0.714,3,5,8,8,4,3,3,4,31,26.8,0
15,14,27-022,MIA,,PHI,W (+21),1,35:47:00,12,17,0.706,0,0,,4,4,1,0,9,9,5,4,3,4,1,28,28.8,9
16,15,27-023,MIA,,MIL,L (-9),1,37:22:00,8,18,0.444,0,1,0,12,13,0.923,4,9,13,5,1,0,3,2,28,24.4,-4
17,16,27-025,MIA,,CLE,W (+7),1,37:48:00,8,21,0.381,1,4,0.25,1,4,0.25,1,4,5,5,2,0,5,1,18,7.3,9
18,17,27-026,MIA,@,DET,W (+3),1,41:39:00,9,20,0.45,1,3,0.333,13,14,0.929,1,5,6,7,2,0,4,3,32,25.1,6
19,18,27-028,MIA,,NYK,W (+10),1,40:17:00,11,18,0.611,0,2,0,9,10,0.9,1,7,8,7,0,0,4,2,31,25.3,4
20,19,27-030,MIA,,CHI,W (+4),1,40:58:00,12,23,0.522,1,1,1,10,15,0.667,1,10,11,5,0,1,6,2,35,22.8,3
21,20,27-031,MIA,,NOH,W (+14),1,29:44:00,8,12,0.667,1,2,0.5,5,7,0.714,4,7,11,8,1,0,4,1,22,23.1,29
22,21,27-033,MIA,@,MIL,L (-8),1,40:17:00,14,24,0.583,4,7,0.571,8,10,0.8,0,8,8,5,2,0,7,1,40,28.5,-6
23,22,27-035,MIA,@,PHI,W (+20),1,37:13:00,8,16,0.5,0,1,0,3,6,0.5,1,11,12,8,0,2,2,2,19,18,19
24,23,27-037,MIA,,TOR,W (+6),1,38:29:00,10,17,0.588,0,1,0,10,12,0.833,0,9,9,2,1,0,5,1,30,21,11
25,24,27-039,MIA,,CLE,W (+16),1,38:40:00,9,16,0.563,0,1,0,6,7,0.857,1,4,5,6,2,0,6,1,24,17.7,5
26,25,27-040,MIA,@,ORL,L (-13),1,39:15:00,5,15,0.333,0,2,0,7,10,0.7,0,6,6,10,3,0,3,0,17,16.1,-1
27,26,27-042,MIA,@,WAS,W (+17),1,33:17:00,6,14,0.429,0,2,0,6,7,0.857,0,2,2,9,0,2,1,1,18,17.1,14
28,27,27-044,MIA,@,ATL,W (+20),1,30:26:00,6,15,0.4,1,3,0.333,10,12,0.833,3,10,13,6,1,0,2,1,23,22,26
29,28,27-045,MIA,@,MIL,W (+18),1,32:54:00,16,21,0.762,0,0,,3,3,1,3,5,8,3,1,0,2,3,35,30.2,14
30,29,27-046,MIA,@,IND,W (+15),1,33:24:00,7,15,0.467,2,5,0.4,7,8,0.875,2,7,9,7,4,0,2,2,23,24.5,27
31,30,27-049,MIA,@,CLE,W (+24),1,30:08:00,11,19,0.579,3,5,0.6,3,3,1,2,3,5,5,1,1,2,2,28,23.8,27
32,31,27-051,MIA,,ORL,W (+12),1,36:38:00,9,14,0.643,1,2,0.5,6,7,0.857,1,10,11,8,2,0,2,2,25,26.9,23
33,32,27-053,MIA,,SAC,W (+12),1,33:13:00,7,11,0.636,2,2,1,2,2,1,0,4,4,8,0,2,3,1,18,17.9,7
34,33,27-055,MIA,,NYK,W (+14),1,40:41:00,7,16,0.438,0,0,,6,6,1,1,8,9,8,5,2,4,3,20,21.5,12
35,34,27-062,MIA,@,POR,W (+14),1,41:02:00,13,22,0.591,2,2,1,10,12,0.833,2,9,11,6,5,1,0,1,38,40.6,8
36,35,27-063,MIA,@,UTA,L (-1),1,44:24:00,16,24,0.667,1,4,0.25,2,3,0.667,1,9,10,6,0,3,0,2,35,33.1,7
37,36,27-065,MIA,@,LAL,L (-10),1,43:02:00,12,26,0.462,0,4,0,1,3,0.333,7,6,13,7,3,2,3,1,25,23.4,-13
38,37,27-067,MIA,,NJN,W (+30),1,29:36:00,9,11,0.818,1,1,1,2,2,1,1,8,9,6,0,0,5,0,21,19.2,20
39,38,27-068,MIA,,ATL,W (+3),1,41:40:00,12,20,0.6,0,3,0,7,10,0.7,4,7,11,2,1,2,2,1,31,26.9,7
