Stat One, Stat Two, Stat Three, R2, RMSE
3P%,FTA,FT%,0.01227,0.46247
3P%,FTA,ORB,0.01360,0.46216
3P%,FTA,DRB,0.08421,0.44531
3P%,FTA,TRB,0.06303,0.45043
3P%,FTA,AST,0.02543,0.45938
3P%,FTA,STL,0.03831,0.45634
3P%,FTA,BLK,0.03285,0.45763
3P%,FTA,TOV,-0.03932,0.47440
3P%,FTA,PF,0.01752,0.46124
3P%,FTA,PTS,0.00671,0.46377
3P%,FTA,GmSc,0.01977,0.46071
3P%,FT%,ORB,0.01674,0.46143
3P%,FT%,DRB,0.09138,0.44357
3P%,FT%,TRB,0.06907,0.44898
3P%,FT%,AST,0.02645,0.45914
3P%,FT%,STL,0.04087,0.45573
3P%,FT%,BLK,0.03548,0.45701
3P%,FT%,TOV,-0.03232,0.47280
3P%,FT%,PF,0.01812,0.46110
3P%,FT%,PTS,0.01132,0.46269
3P%,FT%,GmSc,0.02837,0.45869
3P%,ORB,DRB,0.08601,0.44488
3P%,ORB,TRB,0.08601,0.44488
3P%,ORB,AST,0.02747,0.45890
3P%,ORB,STL,0.04562,0.45460
3P%,ORB,BLK,0.03863,0.45626
3P%,ORB,TOV,-0.03286,0.47292
3P%,ORB,PF,0.01989,0.46068
3P%,ORB,PTS,0.00904,0.46323
3P%,ORB,GmSc,0.02862,0.45863
3P%,DRB,TRB,0.08601,0.44488
3P%,DRB,AST,0.07159,0.44837
3P%,DRB,STL,0.11413,0.43798
3P%,DRB,BLK,0.10139,0.44112
3P%,DRB,TOV,0.05189,0.45310
3P%,DRB,PF,0.08912,0.44412
3P%,DRB,PTS,0.07379,0.44784
3P%,DRB,GmSc,0.05344,0.45273
3P%,TRB,AST,0.05651,0.45200
3P%,TRB,STL,0.09083,0.44370
3P%,TRB,BLK,0.08039,0.44624
3P%,TRB,TOV,0.02728,0.45894
3P%,TRB,PF,0.07089,0.44854
3P%,TRB,PTS,0.05207,0.45306
3P%,TRB,GmSc,0.02931,0.45847
3P%,AST,STL,0.05694,0.45189
3P%,AST,BLK,0.04747,0.45416
3P%,AST,TOV,-0.01202,0.46812
3P%,AST,PF,0.03878,0.45622
3P%,AST,PTS,0.01895,0.46091
3P%,AST,GmSc,0.03588,0.45691
3P%,STL,BLK,0.05845,0.45153
3P%,STL,TOV,-0.00704,0.46697
3P%,STL,PF,0.04926,0.45373
3P%,STL,PTS,0.03107,0.45805
3P%,STL,GmSc,0.02984,0.45834
3P%,BLK,TOV,-0.01858,0.46964
3P%,BLK,PF,0.03972,0.45600
3P%,BLK,PTS,0.02499,0.45948
3P%,BLK,GmSc,0.02684,0.45905
3P%,TOV,PF,-0.02862,0.47195
3P%,TOV,PTS,-0.04060,0.47469
3P%,TOV,GmSc,-0.00572,0.46666
3P%,PF,PTS,0.01278,0.46235
3P%,PF,GmSc,0.03137,0.45798
3P%,PTS,GmSc,0.08995,0.44392
FT,FTA,FT%,0.00867,0.46331
FT,FTA,ORB,0.00953,0.46311
FT,FTA,DRB,0.08202,0.44585
FT,FTA,TRB,0.06023,0.45110
FT,FTA,AST,0.01940,0.46080
FT,FTA,STL,0.02956,0.45841
FT,FTA,BLK,0.02789,0.45880
FT,FTA,TOV,-0.03560,0.47355
FT,FTA,PF,0.01032,0.46293
FT,FTA,PTS,0.00710,0.46368
FT,FTA,GmSc,0.02624,0.45919
FT,FT%,ORB,-0.00031,0.46541
FT,FT%,DRB,0.07163,0.44836
FT,FT%,TRB,0.04887,0.45382
FT,FT%,AST,0.01024,0.46295
FT,FT%,STL,0.01937,0.46081
FT,FT%,BLK,0.01769,0.46120
FT,FT%,TOV,-0.04571,0.47585
FT,FT%,PF,0.00152,0.46498
FT,FT%,PTS,-0.00035,0.46542
FT,FT%,GmSc,0.02487,0.45951
FT,ORB,DRB,0.06664,0.44956
FT,ORB,TRB,0.06664,0.44956
FT,ORB,AST,0.00966,0.46308
FT,ORB,STL,0.02145,0.46032
FT,ORB,BLK,0.01903,0.46089
FT,ORB,TOV,-0.04663,0.47606
FT,ORB,PF,0.00281,0.46468
FT,ORB,PTS,-0.00274,0.46597
FT,ORB,GmSc,0.01888,0.46092
FT,DRB,TRB,0.06664,0.44956
FT,DRB,AST,0.05166,0.45316
FT,DRB,STL,0.08791,0.44441
FT,DRB,BLK,0.08000,0.44633
FT,DRB,TOV,0.03608,0.45686
FT,DRB,PF,0.07029,0.44868
FT,DRB,PTS,0.05748,0.45176
FT,DRB,GmSc,0.04202,0.45545
FT,TRB,AST,0.03475,0.45718
FT,TRB,STL,0.06314,0.45041
FT,TRB,BLK,0.05741,0.45178
FT,TRB,TOV,0.00932,0.46316
FT,TRB,PF,0.04976,0.45361
FT,TRB,PTS,0.03546,0.45701
FT,TRB,GmSc,0.02031,0.46059
FT,AST,STL,0.03222,0.45778
FT,AST,BLK,0.02674,0.45907
FT,AST,TOV,-0.02584,0.47131
FT,AST,PF,0.02187,0.46022
FT,AST,PTS,0.00680,0.46375
FT,AST,GmSc,0.02918,0.45850
FT,STL,BLK,0.03343,0.45749
FT,STL,TOV,-0.02738,0.47166
FT,STL,PF,0.02499,0.45948
FT,STL,PTS,0.01476,0.46189
FT,STL,GmSc,0.02248,0.46008
FT,BLK,TOV,-0.03397,0.47317
FT,BLK,PF,0.02015,0.46062
FT,BLK,PTS,0.01140,0.46268
FT,BLK,GmSc,0.02022,0.46061
FT,TOV,PF,-0.04250,0.47512
FT,TOV,PTS,-0.04899,0.47660
FT,TOV,GmSc,-0.00834,0.46727
FT,PF,PTS,0.00134,0.46502
FT,PF,GmSc,0.02332,0.45988
FT,PTS,GmSc,0.08799,0.44439
FTA,FT%,ORB,0.00016,0.46530
FTA,FT%,DRB,0.07270,0.44810
FTA,FT%,TRB,0.05055,0.45342
FTA,FT%,AST,0.01113,0.46274
FTA,FT%,STL,0.02114,0.46039
FTA,FT%,BLK,0.01929,0.46083
FTA,FT%,TOV,-0.04467,0.47561
FTA,FT%,PF,0.00160,0.46496
FTA,FT%,PTS,0.00074,0.46516
FTA,FT%,GmSc,0.02504,0.45947
FTA,ORB,DRB,0.06672,0.44954
FTA,ORB,TRB,0.06672,0.44954
FTA,ORB,AST,0.01124,0.46271
FTA,ORB,STL,0.02469,0.45956
FTA,ORB,BLK,0.02163,0.46028
FTA,ORB,TOV,-0.04577,0.47587
FTA,ORB,PF,0.00293,0.46465
FTA,ORB,PTS,-0.00340,0.46613
FTA,ORB,GmSc,0.02196,0.46020
FTA,DRB,TRB,0.06672,0.44954
FTA,DRB,AST,0.05396,0.45261
FTA,DRB,STL,0.09175,0.44347
FTA,DRB,BLK,0.08273,0.44567
FTA,DRB,TOV,0.03719,0.45660
FTA,DRB,PF,0.07005,0.44874
FTA,DRB,PTS,0.05592,0.45214
FTA,DRB,GmSc,0.04626,0.45444
FTA,TRB,AST,0.03847,0.45630
FTA,TRB,STL,0.06856,0.44910
FTA,TRB,BLK,0.06184,0.45072
FTA,TRB,TOV,0.01229,0.46247
FTA,TRB,PF,0.05130,0.45324
FTA,TRB,PTS,0.03587,0.45691
FTA,TRB,GmSc,0.02575,0.45931
FTA,AST,STL,0.03701,0.45664
FTA,AST,BLK,0.03112,0.45804
FTA,AST,TOV,-0.02358,0.47079
FTA,AST,PF,0.02291,0.45997
FTA,AST,PTS,0.00589,0.46396
FTA,AST,GmSc,0.03115,0.45803
FTA,STL,BLK,0.03884,0.45621
FTA,STL,TOV,-0.02351,0.47077
FTA,STL,PF,0.02804,0.45877
FTA,STL,PTS,0.01691,0.46139
FTA,STL,GmSc,0.02524,0.45943
FTA,BLK,TOV,-0.03085,0.47246
FTA,BLK,PF,0.02255,0.46006
FTA,BLK,PTS,0.01229,0.46247
FTA,BLK,GmSc,0.02354,0.45983
FTA,TOV,PF,-0.04165,0.47493
FTA,TOV,PTS,-0.04728,0.47621
FTA,TOV,GmSc,-0.00403,0.46627
FTA,PF,PTS,-0.00010,0.46536
FTA,PF,GmSc,0.02502,0.45948
FTA,PTS,GmSc,0.08844,0.44428
FT%,ORB,DRB,0.07569,0.44738
FT%,ORB,TRB,0.07569,0.44738
FT%,ORB,AST,0.01474,0.46189
FT%,ORB,STL,0.02881,0.45858
FT%,ORB,BLK,0.02590,0.45927
FT%,ORB,TOV,-0.03731,0.47394
FT%,ORB,PF,0.00593,0.46395
FT%,ORB,PTS,0.00281,0.46468
FT%,ORB,GmSc,0.03215,0.45779
FT%,DRB,TRB,0.07569,0.44738
FT%,DRB,AST,0.06021,0.45111
FT%,DRB,STL,0.09818,0.44190
FT%,DRB,BLK,0.08980,0.44395
FT%,DRB,TOV,0.04859,0.45389
FT%,DRB,PF,0.07628,0.44724
FT%,DRB,PTS,0.06680,0.44953
FT%,DRB,GmSc,0.05776,0.45170
FT%,TRB,AST,0.04406,0.45497
FT%,TRB,STL,0.07389,0.44782
FT%,TRB,BLK,0.06743,0.44937
FT%,TRB,TOV,0.02251,0.46007
FT%,TRB,PF,0.05654,0.45199
FT%,TRB,PTS,0.04353,0.45510
FT%,TRB,GmSc,0.03332,0.45752
FT%,AST,STL,0.03910,0.45615
FT%,AST,BLK,0.03329,0.45753
FT%,AST,TOV,-0.01674,0.46921
FT%,AST,PF,0.02361,0.45981
FT%,AST,PTS,0.01066,0.46285
FT%,AST,GmSc,0.03742,0.45655
FT%,STL,BLK,0.04164,0.45554
FT%,STL,TOV,-0.01577,0.46899
FT%,STL,PF,0.03048,0.45819
FT%,STL,PTS,0.01829,0.46106
FT%,STL,GmSc,0.03146,0.45796
FT%,BLK,TOV,-0.02326,0.47072
FT%,BLK,PF,0.02501,0.45948
FT%,BLK,PTS,0.01592,0.46162
FT%,BLK,GmSc,0.02926,0.45848
FT%,TOV,PF,-0.03499,0.47341
FT%,TOV,PTS,-0.04240,0.47510
FT%,TOV,GmSc,-0.00317,0.46607
FT%,PF,PTS,0.00440,0.46431
FT%,PF,GmSc,0.03325,0.45753
FT%,PTS,GmSc,0.08799,0.44439
ORB,DRB,TRB,0.06795,0.44925
ORB,DRB,AST,0.05591,0.45214
ORB,DRB,STL,0.09691,0.44221
ORB,DRB,BLK,0.08642,0.44477
ORB,DRB,TOV,0.04143,0.45559
ORB,DRB,PF,0.07127,0.44845
ORB,DRB,PTS,0.05756,0.45175
ORB,DRB,GmSc,0.05510,0.45233
ORB,TRB,AST,0.05591,0.45214
ORB,TRB,STL,0.09691,0.44221
ORB,TRB,BLK,0.08642,0.44477
ORB,TRB,TOV,0.04143,0.45559
ORB,TRB,PF,0.07127,0.44845
ORB,TRB,PTS,0.05756,0.45175
ORB,TRB,GmSc,0.05510,0.45233
ORB,AST,STL,0.04302,0.45522
ORB,AST,BLK,0.03596,0.45689
ORB,AST,TOV,-0.01799,0.46950
ORB,AST,PF,0.02466,0.45956
ORB,AST,PTS,0.00613,0.46391
ORB,AST,GmSc,0.03584,0.45692
ORB,STL,BLK,0.04765,0.45411
ORB,STL,TOV,-0.01275,0.46829
ORB,STL,PF,0.03511,0.45709
ORB,STL,PTS,0.01927,0.46083
ORB,STL,GmSc,0.03374,0.45742
ORB,BLK,TOV,-0.02224,0.47048
ORB,BLK,PF,0.02816,0.45874
ORB,BLK,PTS,0.01543,0.46173
ORB,BLK,GmSc,0.03135,0.45798
ORB,TOV,PF,-0.03544,0.47351
ORB,TOV,PTS,-0.04504,0.47570
ORB,TOV,GmSc,0.00039,0.46524
ORB,PF,PTS,0.00197,0.46488
ORB,PF,GmSc,0.03345,0.45749
ORB,PTS,GmSc,0.09559,0.44254
DRB,TRB,AST,0.05591,0.45214
DRB,TRB,STL,0.09691,0.44221
DRB,TRB,BLK,0.08642,0.44477
DRB,TRB,TOV,0.04143,0.45559
DRB,TRB,PF,0.07127,0.44845
DRB,TRB,PTS,0.05756,0.45175
DRB,TRB,GmSc,0.05510,0.45233
DRB,AST,STL,0.08323,0.44555
DRB,AST,BLK,0.07298,0.44804
DRB,AST,TOV,0.03534,0.45704
DRB,AST,PF,0.06667,0.44956
DRB,AST,PTS,0.04206,0.45545
DRB,AST,GmSc,0.05047,0.45344
DRB,STL,BLK,0.10625,0.43992
DRB,STL,TOV,0.06759,0.44934
DRB,STL,PF,0.10007,0.44144
DRB,STL,PTS,0.07860,0.44668
DRB,STL,GmSc,0.05704,0.45187
DRB,BLK,TOV,0.05141,0.45322
DRB,BLK,PF,0.08739,0.44454
DRB,BLK,PTS,0.06995,0.44877
DRB,BLK,GmSc,0.05308,0.45282
DRB,TOV,PF,0.04441,0.45489
DRB,TOV,PTS,0.02854,0.45865
DRB,TOV,GmSc,0.03127,0.45800
DRB,PF,PTS,0.06127,0.45086
DRB,PF,GmSc,0.05875,0.45146
DRB,PTS,GmSc,0.08988,0.44393
TRB,AST,STL,0.06647,0.44960
TRB,AST,BLK,0.05789,0.45167
TRB,AST,TOV,0.01741,0.46127
TRB,AST,PF,0.05367,0.45268
TRB,AST,PTS,0.02509,0.45946
TRB,AST,GmSc,0.03069,0.45814
TRB,STL,BLK,0.08319,0.44556
TRB,STL,TOV,0.04005,0.45592
TRB,STL,PF,0.07938,0.44649
TRB,STL,PTS,0.05461,0.45245
TRB,STL,GmSc,0.03282,0.45764
TRB,BLK,TOV,0.02675,0.45907
TRB,BLK,PF,0.06885,0.44903
TRB,BLK,PTS,0.04787,0.45406
TRB,BLK,GmSc,0.02963,0.45839
TRB,TOV,PF,0.02225,0.46013
TRB,TOV,PTS,0.00238,0.46478
TRB,TOV,GmSc,0.00596,0.46395
TRB,PF,PTS,0.04162,0.45555
TRB,PF,GmSc,0.03658,0.45675
TRB,PTS,GmSc,0.07339,0.44793
AST,STL,BLK,0.05720,0.45183
AST,STL,TOV,0.00906,0.46322
AST,STL,PF,0.05466,0.45244
AST,STL,PTS,0.02779,0.45882
AST,STL,GmSc,0.03971,0.45600
AST,BLK,TOV,-0.00289,0.46601
AST,BLK,PF,0.04474,0.45481
AST,BLK,PTS,0.02154,0.46030
AST,BLK,GmSc,0.03552,0.45700
AST,TOV,PF,-0.00866,0.46735
AST,TOV,PTS,-0.02638,0.47143
AST,TOV,GmSc,0.00601,0.46394
AST,PF,PTS,0.01995,0.46067
AST,PF,GmSc,0.04320,0.45517
AST,PTS,GmSc,0.08278,0.44566
STL,BLK,TOV,-0.00506,0.46651
STL,BLK,PF,0.04866,0.45387
STL,BLK,PTS,0.02860,0.45863
STL,BLK,GmSc,0.03031,0.45823
STL,TOV,PF,-0.00939,0.46752
STL,TOV,PTS,-0.02840,0.47190
STL,TOV,GmSc,-0.00083,0.46553
STL,PF,PTS,0.02262,0.46004
STL,PF,GmSc,0.03583,0.45692
STL,PTS,GmSc,0.07989,0.44636
BLK,TOV,PF,-0.02027,0.47003
BLK,TOV,PTS,-0.03636,0.47372
BLK,TOV,GmSc,-0.00474,0.46644
BLK,PF,PTS,0.01646,0.46149
BLK,PF,GmSc,0.03214,0.45780
BLK,PTS,GmSc,0.08505,0.44511
TOV,PF,PTS,-0.04052,0.47467
TOV,PF,GmSc,0.00146,0.46500
TOV,PTS,GmSc,0.08638,0.44478
PF,PTS,GmSc,0.08857,0.44425
